dates,results,locations,game_nums,opponent,date_diff,rest
2018-10-17,Win,Away,1,CHO,5.0,4.0
2018-10-19,Win,Home,2,IND,2.0,1.0
2018-10-22,Win,Home,3,NYK,3.0,2.0
2018-10-24,Win,Home,4,PHI,2.0,1.0
2018-10-26,Win,Away,5,MIN,2.0,1.0
2018-10-27,Win,Home,6,ORL,1.0,0.0
2018-10-29,Win,Home,7,TOR,2.0,1.0
2018-11-01,Loss,Away,8,BOS,3.0,2.0
2018-11-04,Win,Home,9,SAC,3.0,2.0
2018-11-06,Loss,Away,10,POR,2.0,1.0
2018-11-08,Win,Away,11,GSW,2.0,1.0
2018-11-10,Loss,Away,12,LAC,2.0,1.0
2018-11-11,Win,Away,13,DEN,1.0,0.0
2018-11-14,Loss,Home,14,MEM,3.0,2.0
2018-11-16,Win,Home,15,CHI,2.0,1.0
2018-11-19,Win,Home,16,DEN,3.0,2.0
2018-11-21,Win,Home,17,POR,2.0,1.0
2018-11-23,Loss,Home,18,PHO,2.0,1.0
2018-11-24,Win,Home,19,SAS,1.0,0.0
2018-11-26,Loss,Away,20,CHO,2.0,1.0
2018-11-28,Win,Home,21,CHI,2.0,1.0
2018-12-01,Loss,Away,22,NYK,3.0,2.0
2018-12-05,Win,Home,23,DET,4.0,3.0
2018-12-07,Loss,Home,24,GSW,2.0,1.0
2018-12-09,Win,Away,25,TOR,2.0,1.0
2018-12-10,Win,Home,26,CLE,1.0,0.0
2018-12-12,Loss,Away,27,IND,2.0,1.0
2018-12-14,Win,Away,28,CLE,2.0,1.0
2018-12-17,Win,Away,29,DET,3.0,2.0
2018-12-19,Win,Home,30,NOP,2.0,1.0
2018-12-21,Win,Away,31,BOS,2.0,1.0
2018-12-22,Loss,Away,32,MIA,1.0,0.0
2018-12-25,Win,Away,33,NYK,3.0,2.0
2018-12-27,Win,Home,34,NYK,2.0,1.0
2018-12-29,Win,Home,35,BRK,2.0,1.0
2019-01-01,Win,Home,36,DET,3.0,2.0
2019-01-04,Win,Home,37,ATL,3.0,2.0
2019-01-05,Loss,Home,38,TOR,1.0,0.0
2019-01-07,Win,Home,39,UTA,2.0,1.0
2019-01-09,Win,Away,40,HOU,2.0,1.0
2019-01-11,Loss,Away,41,WAS,2.0,1.0
2019-01-13,Win,Away,42,ATL,2.0,1.0
2019-01-15,Win,Home,43,MIA,2.0,1.0
2019-01-16,Win,Away,44,MEM,1.0,0.0
2019-01-19,Win,Away,45,ORL,3.0,2.0
2019-01-21,Win,Home,46,DAL,2.0,1.0
2019-01-25,Win,Home,47,CHO,4.0,3.0
2019-01-27,Loss,Away,48,OKC,2.0,1.0
2019-01-29,Win,Away,49,DET,2.0,1.0
2019-01-31,Win,Away,50,TOR,2.0,1.0
2019-02-02,Win,Away,51,WAS,2.0,1.0
2019-02-04,Win,Away,52,BRK,2.0,1.0
2019-02-06,Win,Home,53,WAS,2.0,1.0
2019-02-08,Win,Away,54,DAL,2.0,1.0
2019-02-09,Loss,Home,55,ORL,1.0,0.0
2019-02-11,Win,Away,56,CHI,2.0,1.0
2019-02-13,Win,Away,57,IND,2.0,1.0
2019-02-21,Win,Home,58,BOS,8.0,7.0
2019-02-23,Win,Home,59,MIN,2.0,1.0
2019-02-25,Win,Away,60,CHI,2.0,1.0
2019-02-27,Win,Away,61,SAC,2.0,1.0
2019-03-01,Win,Away,62,LAL,2.0,1.0
2019-03-02,Loss,Away,63,UTA,1.0,0.0
2019-03-04,Loss,Away,64,PHO,2.0,1.0
2019-03-07,Win,Home,65,IND,3.0,2.0
2019-03-09,Win,Home,66,CHO,2.0,1.0
2019-03-10,Loss,Away,67,SAS,1.0,0.0
2019-03-12,Win,Away,68,NOP,2.0,1.0
2019-03-15,Win,Away,69,MIA,3.0,2.0
2019-03-17,Loss,Home,70,PHI,2.0,1.0
2019-03-19,Win,Home,71,LAL,2.0,1.0
2019-03-20,Loss,Away,72,CLE,1.0,0.0
2019-03-22,Win,Home,73,MIA,2.0,1.0
2019-03-24,Win,Home,74,CLE,2.0,1.0
2019-03-26,Win,Home,75,HOU,2.0,1.0
2019-03-28,Win,Home,76,LAC,2.0,1.0
2019-03-31,Loss,Away,77,ATL,3.0,2.0
2019-04-01,Win,Away,78,BRK,1.0,0.0
2019-04-04,Win,Away,79,PHI,3.0,2.0
2019-04-06,Loss,Home,80,BRK,2.0,1.0
2019-04-07,Win,Home,81,ATL,1.0,0.0
2019-04-10,Loss,Home,82,OKC,3.0,2.0
