dates,results,locations,game_nums,opponent,date_diff,rest
2017-10-18,Win,Away,1,BOS,5.0,4.0
2017-10-20,Loss,Home,2,CLE,2.0,1.0
2017-10-21,Win,Home,3,POR,1.0,0.0
2017-10-23,Win,Home,4,CHO,2.0,1.0
2017-10-26,Loss,Home,5,BOS,3.0,2.0
2017-10-29,Win,Away,6,ATL,3.0,2.0
2017-10-31,Loss,Home,7,OKC,2.0,1.0
2017-11-01,Loss,Away,8,CHO,1.0,0.0
2017-11-03,Loss,Away,9,DET,2.0,1.0
2017-11-07,Loss,Away,10,CLE,4.0,3.0
2017-11-10,Win,Away,11,SAS,3.0,2.0
2017-11-11,Win,Home,12,LAL,1.0,0.0
2017-11-13,Win,Home,13,MEM,2.0,1.0
2017-11-15,Win,Home,14,DET,2.0,1.0
2017-11-18,Loss,Away,15,DAL,3.0,2.0
2017-11-20,Loss,Home,16,WAS,2.0,1.0
2017-11-22,Win,Away,17,PHO,2.0,1.0
2017-11-25,Loss,Away,18,UTA,3.0,2.0
2017-11-28,Win,Away,19,SAC,3.0,2.0
2017-11-30,Win,Away,20,POR,2.0,1.0
2017-12-02,Win,Home,21,SAC,2.0,1.0
2017-12-04,Loss,Away,22,BOS,2.0,1.0
2017-12-06,Win,Home,23,DET,2.0,1.0
2017-12-08,Win,Home,24,DAL,2.0,1.0
2017-12-09,Win,Home,25,UTA,1.0,0.0
2017-12-13,Loss,Away,26,NOP,4.0,3.0
2017-12-15,Loss,Home,27,CHI,2.0,1.0
2017-12-16,Loss,Away,28,HOU,1.0,0.0
2017-12-19,Win,Home,29,CLE,3.0,2.0
2017-12-22,Win,Home,30,CHO,3.0,2.0
2017-12-23,Loss,Away,31,CHO,1.0,0.0
2017-12-26,Loss,Home,32,CHI,3.0,2.0
2017-12-28,Win,Home,33,MIN,2.0,1.0
2017-12-29,Win,Away,34,OKC,1.0,0.0
2018-01-01,Loss,Away,35,TOR,3.0,2.0
2018-01-03,Win,Home,36,IND,2.0,1.0
2018-01-05,Loss,Home,37,TOR,2.0,1.0
2018-01-06,Win,Away,38,WAS,1.0,0.0
2018-01-08,Loss,Away,39,IND,2.0,1.0
2018-01-10,Win,Home,40,ORL,2.0,1.0
2018-01-12,Loss,Home,41,GSW,2.0,1.0
2018-01-14,Loss,Away,42,MIA,2.0,1.0
2018-01-15,Win,Away,43,WAS,1.0,0.0
2018-01-17,Loss,Home,44,MIA,2.0,1.0
2018-01-20,Loss,Away,45,PHI,3.0,2.0
2018-01-22,Win,Home,46,PHO,2.0,1.0
2018-01-26,Win,Home,47,BRK,4.0,3.0
2018-01-28,Win,Away,48,CHI,2.0,1.0
2018-01-29,Win,Home,49,PHI,1.0,0.0
2018-02-01,Loss,Away,50,MIN,3.0,2.0
2018-02-02,Win,Home,51,NYK,1.0,0.0
2018-02-04,Win,Away,52,BRK,2.0,1.0
2018-02-06,Win,Away,53,NYK,2.0,1.0
2018-02-09,Loss,Away,54,MIA,3.0,2.0
2018-02-10,Win,Away,55,ORL,1.0,0.0
2018-02-13,Win,Home,56,ATL,3.0,2.0
2018-02-15,Loss,Home,57,DEN,2.0,1.0
2018-02-23,Win,Away,58,TOR,8.0,7.0
2018-02-25,Loss,Home,59,NOP,2.0,1.0
2018-02-27,Loss,Home,60,WAS,2.0,1.0
2018-02-28,Loss,Away,61,DET,1.0,0.0
2018-03-02,Loss,Home,62,IND,2.0,1.0
2018-03-04,Win,Home,63,PHI,2.0,1.0
2018-03-05,Loss,Away,64,IND,1.0,0.0
2018-03-07,Loss,Home,65,HOU,2.0,1.0
2018-03-09,Win,Home,66,NYK,2.0,1.0
2018-03-12,Win,Away,67,MEM,3.0,2.0
2018-03-14,Loss,Away,68,ORL,2.0,1.0
2018-03-17,Win,Home,69,ATL,3.0,2.0
2018-03-19,Loss,Away,70,CLE,2.0,1.0
2018-03-21,Loss,Home,71,LAC,2.0,1.0
2018-03-23,Win,Away,72,CHI,2.0,1.0
2018-03-25,Win,Home,73,SAS,2.0,1.0
2018-03-27,Loss,Away,74,LAC,2.0,1.0
2018-03-29,Win,Away,75,GSW,2.0,1.0
2018-03-30,Win,Away,76,LAL,1.0,0.0
2018-04-01,Loss,Away,77,DEN,2.0,1.0
2018-04-03,Win,Home,78,BOS,2.0,1.0
2018-04-05,Loss,Home,79,BRK,2.0,1.0
2018-04-07,Win,Away,80,NYK,2.0,1.0
2018-04-09,Win,Home,81,ORL,2.0,1.0
2018-04-11,Loss,Away,82,PHI,2.0,1.0
