dates,results,locations,game_nums,opponent,date_diff,rest
2019-10-24,Win,Away,1,HOU,5.0,4.0
2019-10-26,Loss,Home,2,MIA,2.0,1.0
2019-10-28,Win,Home,3,CLE,2.0,1.0
2019-10-30,Loss,Away,4,BOS,2.0,1.0
2019-11-01,Win,Away,5,ORL,2.0,1.0
2019-11-02,Win,Home,6,TOR,1.0,0.0
2019-11-04,Win,Away,7,MIN,2.0,1.0
2019-11-06,Win,Away,8,LAC,2.0,1.0
2019-11-08,Loss,Away,9,UTA,2.0,1.0
2019-11-10,Win,Away,10,OKC,2.0,1.0
2019-11-14,Win,Home,11,CHI,4.0,3.0
2019-11-16,Win,Away,12,IND,2.0,1.0
2019-11-18,Win,Away,13,CHI,2.0,1.0
2019-11-20,Win,Away,14,ATL,2.0,1.0
2019-11-21,Win,Home,15,POR,1.0,0.0
2019-11-23,Win,Home,16,DET,2.0,1.0
2019-11-25,Win,Home,17,UTA,2.0,1.0
2019-11-27,Win,Home,18,ATL,2.0,1.0
2019-11-29,Win,Away,19,CLE,2.0,1.0
2019-11-30,Win,Home,20,CHO,1.0,0.0
2019-12-02,Win,Home,21,NYK,2.0,1.0
2019-12-04,Win,Away,22,DET,2.0,1.0
2019-12-06,Win,Home,23,LAC,2.0,1.0
2019-12-09,Win,Home,24,ORL,3.0,2.0
2019-12-11,Win,Home,25,NOP,2.0,1.0
2019-12-13,Win,Away,26,MEM,2.0,1.0
2019-12-14,Win,Home,27,CLE,1.0,0.0
2019-12-16,Loss,Home,28,DAL,2.0,1.0
2019-12-19,Win,Home,29,LAL,3.0,2.0
2019-12-21,Win,Away,30,NYK,2.0,1.0
2019-12-22,Win,Home,31,IND,1.0,0.0
2019-12-25,Loss,Away,32,PHI,3.0,2.0
2019-12-27,Win,Away,33,ATL,2.0,1.0
2019-12-28,Win,Home,34,ORL,1.0,0.0
2019-12-30,Win,Away,35,CHI,2.0,1.0
2020-01-01,Win,Home,36,MIN,2.0,1.0
2020-01-04,Win,Home,37,SAS,3.0,2.0
2020-01-06,Loss,Away,38,SAS,2.0,1.0
2020-01-08,Win,Away,39,GSW,2.0,1.0
2020-01-10,Win,Away,40,SAC,2.0,1.0
2020-01-11,Win,Away,41,POR,1.0,0.0
2020-01-14,Win,Home,42,NYK,3.0,2.0
2020-01-16,Win,Home,43,BOS,2.0,1.0
2020-01-18,Win,Away,44,BRK,2.0,1.0
2020-01-20,Win,Home,45,CHI,2.0,1.0
2020-01-24,Win,Away,46,CHO,4.0,3.0
2020-01-28,Win,Home,47,WAS,4.0,3.0
2020-01-31,Loss,Home,48,DEN,3.0,2.0
2020-02-02,Win,Home,49,PHO,2.0,1.0
2020-02-04,Win,Away,50,NOP,2.0,1.0
2020-02-06,Win,Home,51,PHI,2.0,1.0
2020-02-08,Win,Away,52,ORL,2.0,1.0
2020-02-10,Win,Home,53,SAC,2.0,1.0
2020-02-12,Loss,Away,54,IND,2.0,1.0
2020-02-20,Win,Away,55,DET,8.0,7.0
2020-02-22,Win,Home,56,PHI,2.0,1.0
2020-02-24,Win,Away,57,WAS,2.0,1.0
2020-02-25,Win,Away,58,TOR,1.0,0.0
2020-02-28,Win,Home,59,OKC,3.0,2.0
2020-03-01,Win,Away,60,CHO,2.0,1.0
2020-03-02,Loss,Away,61,MIA,1.0,0.0
2020-03-04,Win,Home,62,IND,2.0,1.0
2020-03-06,Loss,Away,63,LAL,2.0,1.0
2020-03-08,Loss,Away,64,PHO,2.0,1.0
2020-03-09,Loss,Away,65,DEN,1.0,0.0
