dates,results,locations,game_nums,opponent,date_diff,rest,opp_date_diff,opp_rest,rest_diff,abbrv
2016-04-10,Win,Away,80,PHI,2,1,2.0,1.0,0.0,MIL
2016-04-11,Loss,Away,81,ORL,1,0,1.0,0.0,0.0,MIL
2016-04-13,Loss,Home,82,IND,2,1,1.0,0.0,1.0,MIL
2015-10-28,Loss,Home,1,CHI,10,9,10.0,9.0,0.0,BRK
2015-10-30,Loss,Away,2,SAS,2,1,2.0,1.0,0.0,BRK
2015-10-31,Loss,Away,3,MEM,1,0,2.0,1.0,-1.0,BRK
2015-11-02,Loss,Home,4,MIL,2,1,1.0,0.0,1.0,BRK
2015-11-04,Loss,Away,5,ATL,2,1,2.0,1.0,0.0,BRK
2015-11-06,Loss,Home,6,LAL,2,1,2.0,1.0,0.0,BRK
2015-11-07,Loss,Away,7,MIL,1,0,1.0,0.0,0.0,BRK
2015-11-11,Win,Away,8,HOU,4,3,4.0,3.0,0.0,BRK
2015-11-13,Loss,Away,9,SAC,2,1,2.0,1.0,0.0,BRK
2015-11-14,Loss,Away,10,GSW,1,0,1.0,0.0,0.0,BRK
2015-11-17,Win,Home,11,ATL,3,2,2.0,1.0,1.0,BRK
2015-11-18,Loss,Away,12,CHO,1,0,1.0,0.0,0.0,BRK
2015-11-20,Loss,Away,13,BOS,2,1,2.0,1.0,0.0,BRK
2015-11-22,Win,Home,14,BOS,2,1,2.0,1.0,0.0,BRK
2015-11-25,Loss,Away,15,OKC,3,2,1.0,0.0,2.0,BRK
2015-11-28,Loss,Away,16,CLE,3,2,2.0,1.0,1.0,BRK
2015-11-29,Win,Home,17,DET,1,0,2.0,1.0,-1.0,BRK
2015-12-01,Win,Home,18,PHO,2,1,2.0,1.0,0.0,BRK
2015-12-04,Loss,Away,19,NYK,3,2,3.0,2.0,0.0,BRK
2015-12-06,Loss,Home,20,GSW,2,1,2.0,1.0,0.0,BRK
2015-12-08,Win,Home,21,HOU,2,1,1.0,0.0,1.0,BRK
2015-12-10,Win,Home,22,PHI,2,1,2.0,1.0,0.0,BRK
2015-12-12,Loss,Home,23,LAC,2,1,1.0,0.0,1.0,BRK
2015-12-14,Loss,Home,24,ORL,2,1,3.0,2.0,-1.0,BRK
2015-12-16,Loss,Home,25,MIA,2,1,2.0,1.0,0.0,BRK
2015-12-18,Loss,Away,26,IND,2,1,1.0,0.0,1.0,BRK
2015-12-20,Loss,Home,27,MIN,2,1,2.0,1.0,0.0,BRK
2015-12-21,Win,Away,28,CHI,1,0,1.0,0.0,0.0,BRK
2015-12-23,Loss,Home,29,DAL,2,1,1.0,0.0,1.0,BRK
2015-12-26,Loss,Home,30,WAS,3,2,2.0,1.0,1.0,BRK
2015-12-28,Win,Away,31,MIA,2,1,1.0,0.0,1.0,BRK
2015-12-30,Loss,Away,32,ORL,2,1,2.0,1.0,0.0,BRK
2016-01-02,Win,Away,33,BOS,3,2,3.0,2.0,0.0,BRK
2016-01-04,Loss,Home,34,BOS,2,1,2.0,1.0,0.0,BRK
2016-01-06,Loss,Home,35,TOR,2,1,2.0,1.0,0.0,BRK
2016-01-08,Loss,Home,36,ORL,2,1,2.0,1.0,0.0,BRK
2016-01-09,Loss,Away,37,DET,1,0,3.0,2.0,-2.0,BRK
2016-01-11,Loss,Home,38,SAS,2,1,2.0,1.0,0.0,BRK
2016-01-13,Win,Home,39,NYK,2,1,2.0,1.0,0.0,BRK
2016-01-15,Loss,Home,40,POR,2,1,2.0,1.0,0.0,BRK
2016-01-16,Loss,Away,41,ATL,1,0,1.0,0.0,0.0,BRK
2016-01-18,Loss,Away,42,TOR,2,1,2.0,1.0,0.0,BRK
2016-01-20,Loss,Home,43,CLE,2,1,2.0,1.0,0.0,BRK
2016-01-22,Loss,Home,44,UTA,2,1,3.0,2.0,-1.0,BRK
2016-01-24,Win,Home,45,OKC,2,1,2.0,1.0,0.0,BRK
2016-01-26,Loss,Home,46,MIA,2,1,1.0,0.0,1.0,BRK
2016-01-29,Loss,Away,47,DAL,3,2,2.0,1.0,1.0,BRK
2016-01-30,Loss,Away,48,NOP,1,0,2.0,1.0,-1.0,BRK
2016-02-01,Loss,Home,49,DET,2,1,2.0,1.0,0.0,BRK
2016-02-03,Loss,Home,50,IND,2,1,2.0,1.0,0.0,BRK
2016-02-05,Win,Home,51,SAC,2,1,2.0,1.0,0.0,BRK
2016-02-06,Loss,Away,52,PHI,1,0,2.0,1.0,-1.0,BRK
2016-02-08,Win,Home,53,DEN,2,1,1.0,0.0,1.0,BRK
2016-02-10,Loss,Home,54,MEM,2,1,9.0,8.0,-7.0,BRK
2016-02-19,Win,Home,55,NYK,9,8,2.0,1.0,7.0,BRK
2016-02-21,Loss,Home,56,CHO,2,1,3.0,2.0,-1.0,BRK
2016-02-23,Loss,Away,57,POR,2,1,2.0,1.0,0.0,BRK
2016-02-25,Win,Away,58,PHO,2,1,3.0,2.0,-1.0,BRK
2016-02-27,Win,Away,59,UTA,2,1,2.0,1.0,0.0,BRK
2016-02-29,Loss,Away,60,LAC,2,1,2.0,1.0,0.0,BRK
2016-03-01,Loss,Away,61,LAL,1,0,4.0,3.0,-3.0,BRK
2016-03-04,Win,Away,62,DEN,3,2,2.0,1.0,1.0,BRK
2016-03-05,Loss,Away,63,MIN,1,0,1.0,0.0,0.0,BRK
2016-03-08,Loss,Away,64,TOR,3,2,2.0,1.0,1.0,BRK
2016-03-11,Loss,Away,65,PHI,3,2,2.0,1.0,1.0,BRK
2016-03-13,Loss,Home,66,MIL,2,1,3.0,2.0,-1.0,BRK
2016-03-15,Win,Home,67,PHI,2,1,3.0,2.0,-1.0,BRK
2016-03-17,Loss,Away,68,CHI,2,1,2.0,1.0,0.0,BRK
2016-03-19,Loss,Away,69,DET,2,1,2.0,1.0,0.0,BRK
2016-03-22,Loss,Home,70,CHO,3,2,2.0,1.0,1.0,BRK
2016-03-24,Win,Home,71,CLE,2,1,2.0,1.0,0.0,BRK
2016-03-26,Win,Home,72,IND,2,1,2.0,1.0,0.0,BRK
2016-03-28,Loss,Away,73,MIA,2,1,3.0,2.0,-1.0,BRK
2016-03-29,Loss,Away,74,ORL,1,0,3.0,2.0,-2.0,BRK
2016-03-31,Loss,Away,75,CLE,2,1,2.0,1.0,0.0,BRK
2016-04-01,Loss,Away,76,NYK,1,0,2.0,1.0,-1.0,BRK
2016-04-03,Loss,Home,77,NOP,2,1,2.0,1.0,0.0,BRK
2016-04-06,Loss,Away,78,WAS,3,2,3.0,2.0,0.0,BRK
2016-04-08,Loss,Away,79,CHO,2,1,2.0,1.0,0.0,BRK
2016-04-10,Loss,Away,80,IND,2,1,2.0,1.0,0.0,BRK
2016-04-11,Loss,Home,81,WAS,1,0,1.0,0.0,0.0,BRK
2016-04-13,Loss,Home,82,TOR,2,1,1.0,0.0,1.0,BRK
2015-10-28,Win,Away,1,ORL,10,9,10.0,9.0,0.0,WAS
2015-10-30,Win,Away,2,MIL,2,1,2.0,1.0,0.0,WAS
2015-10-31,Loss,Home,3,NYK,1,0,2.0,1.0,-1.0,WAS
2015-11-04,Win,Home,4,SAS,4,3,1.0,0.0,3.0,WAS
2015-11-06,Loss,Away,5,BOS,2,1,2.0,1.0,0.0,WAS
