dates,results,locations,game_nums,opponent,date_diff,rest,opp_date_diff,opp_rest,rest_diff,abbrv
2016-01-10,Loss,Home,39,UTA,2,1,1.0,0.0,1.0,LAL
2016-01-12,Win,Home,40,NOP,2,1,3.0,2.0,-1.0,LAL
2016-01-14,Loss,Away,41,GSW,2,1,2.0,1.0,0.0,LAL
2016-01-16,Loss,Away,42,UTA,2,1,2.0,1.0,0.0,LAL
2016-01-17,Loss,Home,43,HOU,1,0,1.0,0.0,0.0,LAL
2016-01-20,Loss,Home,44,SAC,3,2,2.0,1.0,1.0,LAL
2016-01-22,Loss,Home,45,SAS,2,1,3.0,2.0,-1.0,LAL
2016-01-23,Loss,Away,46,POR,1,0,3.0,2.0,-2.0,LAL
2016-01-26,Loss,Home,47,DAL,3,2,2.0,1.0,1.0,LAL
2016-01-28,Loss,Home,48,CHI,2,1,2.0,1.0,0.0,LAL
2016-01-29,Loss,Away,49,LAC,1,0,3.0,2.0,-2.0,LAL
2016-01-31,Loss,Home,50,CHO,2,1,2.0,1.0,0.0,LAL
2016-02-02,Win,Home,51,MIN,2,1,1.0,0.0,1.0,LAL
2016-02-04,Win,Away,52,NOP,2,1,2.0,1.0,0.0,LAL
2016-02-06,Loss,Away,53,SAS,2,1,1.0,0.0,1.0,LAL
2016-02-08,Loss,Away,54,IND,2,1,9.0,8.0,-7.0,LAL
2016-02-10,Loss,Away,55,CLE,2,1,1.0,0.0,1.0,LAL
2016-02-19,Loss,Home,56,SAS,9,8,2.0,1.0,7.0,LAL
2016-02-21,Loss,Away,57,CHI,2,1,2.0,1.0,0.0,LAL
2016-02-22,Loss,Away,58,MIL,1,0,3.0,2.0,-2.0,LAL
2016-02-24,Loss,Away,59,MEM,2,1,2.0,1.0,0.0,LAL
2016-02-26,Loss,Home,60,MEM,2,1,2.0,1.0,0.0,LAL
2016-03-01,Win,Home,61,BRK,4,3,1.0,0.0,3.0,LAL
2016-03-02,Loss,Away,62,DEN,1,0,2.0,1.0,-1.0,LAL
2016-03-04,Loss,Home,63,ATL,2,1,1.0,0.0,1.0,LAL
2016-03-06,Win,Home,64,GSW,2,1,2.0,1.0,0.0,LAL
2016-03-08,Win,Home,65,ORL,2,1,1.0,0.0,1.0,LAL
2016-03-10,Loss,Home,66,CLE,2,1,1.0,0.0,1.0,LAL
2016-03-13,Loss,Home,67,NYK,3,2,2.0,1.0,1.0,LAL
2016-03-15,Loss,Home,68,SAC,2,1,2.0,1.0,0.0,LAL
2016-03-18,Loss,Home,69,PHO,3,2,1.0,0.0,2.0,LAL
2016-03-22,Win,Home,70,MEM,4,3,2.0,1.0,2.0,LAL
2016-03-23,Loss,Away,71,PHO,1,0,2.0,1.0,-1.0,LAL
2016-03-25,Loss,Home,72,DEN,2,1,2.0,1.0,0.0,LAL
2016-03-27,Loss,Home,73,WAS,2,1,2.0,1.0,0.0,LAL
2016-03-28,Loss,Away,74,UTA,1,0,2.0,1.0,-1.0,LAL
2016-03-30,Win,Home,75,MIA,2,1,2.0,1.0,0.0,LAL
2016-04-03,Loss,Home,76,BOS,4,3,1.0,0.0,3.0,LAL
2016-04-05,Loss,Away,77,LAC,2,1,2.0,1.0,0.0,LAL
2016-04-06,Loss,Home,78,LAC,1,0,1.0,0.0,0.0,LAL
2016-04-08,Loss,Away,79,NOP,2,1,2.0,1.0,0.0,LAL
2016-04-10,Loss,Away,80,HOU,2,1,3.0,2.0,-1.0,LAL
2016-04-11,Loss,Away,81,OKC,1,0,2.0,1.0,-1.0,LAL
2016-04-13,Win,Home,82,UTA,2,1,2.0,1.0,0.0,LAL
2015-10-27,Win,Away,1,ATL,10,9,10.0,9.0,0.0,DET
2015-10-28,Win,Home,2,UTA,1,0,2.0,1.0,-1.0,DET
2015-10-30,Win,Home,3,CHI,2,1,2.0,1.0,0.0,DET
2015-11-03,Loss,Home,4,IND,4,3,3.0,2.0,1.0,DET
2015-11-06,Win,Away,5,PHO,3,2,2.0,1.0,1.0,DET
2015-11-08,Win,Away,6,POR,2,1,1.0,0.0,1.0,DET
2015-11-09,Loss,Away,7,GSW,1,0,1.0,0.0,0.0,DET
2015-11-11,Loss,Away,8,SAC,2,1,2.0,1.0,0.0,DET
2015-11-14,Loss,Away,9,LAC,3,2,1.0,0.0,2.0,DET
2015-11-15,Loss,Away,10,LAL,1,0,2.0,1.0,-1.0,DET
2015-11-17,Win,Home,11,CLE,2,1,3.0,2.0,-1.0,DET
2015-11-20,Win,Away,12,MIN,3,2,1.0,0.0,2.0,DET
2015-11-21,Loss,Home,13,WAS,1,0,2.0,1.0,-1.0,DET
2015-11-23,Loss,Away,14,MIL,2,1,2.0,1.0,0.0,DET
2015-11-25,Win,Home,15,MIA,2,1,2.0,1.0,0.0,DET
2015-11-27,Loss,Away,16,OKC,2,1,2.0,1.0,0.0,DET
2015-11-29,Loss,Away,17,BRK,2,1,1.0,0.0,1.0,DET
2015-11-30,Win,Home,18,HOU,1,0,1.0,0.0,0.0,DET
2015-12-02,Win,Home,19,PHO,2,1,1.0,0.0,1.0,DET
2015-12-04,Win,Home,20,MIL,2,1,2.0,1.0,0.0,DET
2015-12-06,Win,Home,21,LAL,2,1,1.0,0.0,1.0,DET
2015-12-07,Loss,Away,22,CHO,1,0,2.0,1.0,-1.0,DET
2015-12-09,Loss,Home,23,MEM,2,1,1.0,0.0,1.0,DET
2015-12-11,Win,Away,24,PHI,2,1,1.0,0.0,1.0,DET
2015-12-12,Win,Home,25,IND,1,0,2.0,1.0,-1.0,DET
2015-12-14,Loss,Home,26,LAC,2,1,2.0,1.0,0.0,DET
2015-12-16,Win,Home,27,BOS,2,1,2.0,1.0,0.0,DET
2015-12-18,Win,Away,28,CHI,2,1,1.0,0.0,1.0,DET
2015-12-22,Win,Away,29,MIA,4,3,1.0,0.0,3.0,DET
2015-12-23,Loss,Away,30,ATL,1,0,1.0,0.0,0.0,DET
2015-12-26,Loss,Home,31,BOS,3,2,1.0,0.0,2.0,DET
2015-12-29,Loss,Away,32,NYK,3,2,1.0,0.0,2.0,DET
2015-12-31,Win,Home,33,MIN,2,1,1.0,0.0,1.0,DET
2016-01-02,Loss,Away,34,IND,2,1,2.0,1.0,0.0,DET
2016-01-04,Win,Home,35,ORL,2,1,2.0,1.0,0.0,DET
2016-01-06,Win,Away,36,BOS,2,1,1.0,0.0,1.0,DET
2016-01-09,Win,Home,37,BRK,3,2,1.0,0.0,2.0,DET
2016-01-12,Loss,Home,38,SAS,3,2,2.0,1.0,1.0,DET
2016-01-14,Loss,Away,39,MEM,2,1,2.0,1.0,0.0,DET
2016-01-16,Win,Home,40,GSW,2,1,1.0,0.0,1.0,DET
2016-01-18,Loss,Home,41,CHI,2,1,2.0,1.0,0.0,DET
2016-01-20,Win,Away,42,HOU,2,1,2.0,1.0,0.0,DET
2016-01-21,Loss,Away,43,NOP,1,0,2.0,1.0,-1.0,DET
2016-01-23,Loss,Away,44,DEN,2,1,2.0,1.0,0.0,DET
2016-01-25,Win,Away,45,UTA,2,1,2.0,1.0,0.0,DET
2016-01-27,Win,Home,46,PHI,2,1,2.0,1.0,0.0,DET
2016-01-29,Loss,Home,47,CLE,2,1,2.0,1.0,0.0,DET
2016-01-30,Loss,Away,48,TOR,1,0,2.0,1.0,-1.0,DET
2016-02-01,Win,Away,49,BRK,2,1,2.0,1.0,0.0,DET
2016-02-03,Loss,Away,50,BOS,2,1,2.0,1.0,0.0,DET
2016-02-04,Win,Home,51,NYK,1,0,2.0,1.0,-1.0,DET
2016-02-06,Loss,Away,52,IND,2,1,2.0,1.0,0.0,DET
2016-02-08,Loss,Home,53,TOR,2,1,9.0,8.0,-7.0,DET
2016-02-10,Loss,Home,54,DEN,2,1,2.0,1.0,0.0,DET
2016-02-19,Loss,Away,55,WAS,9,8,3.0,2.0,6.0,DET
2016-02-21,Loss,Home,56,NOP,2,1,2.0,1.0,0.0,DET
2016-02-22,Win,Away,57,CLE,1,0,2.0,1.0,-1.0,DET
2016-02-24,Win,Home,58,PHI,2,1,2.0,1.0,0.0,DET
2016-02-27,Win,Away,59,MIL,3,2,2.0,1.0,1.0,DET
2016-02-28,Win,Home,60,TOR,1,0,2.0,1.0,-1.0,DET
2016-03-02,Loss,Away,61,SAS,3,2,1.0,0.0,2.0,DET
2016-03-05,Loss,Away,62,NYK,3,2,2.0,1.0,1.0,DET
2016-03-06,Win,Home,63,POR,1,0,2.0,1.0,-1.0,DET
2016-03-09,Win,Away,64,DAL,3,2,1.0,0.0,2.0,DET
2016-03-11,Loss,Away,65,CHO,2,1,1.0,0.0,1.0,DET
2016-03-12,Win,Away,66,PHI,1,0,1.0,0.0,0.0,DET
2016-03-14,Loss,Away,67,WAS,2,1,2.0,1.0,0.0,DET
2016-03-16,Loss,Home,68,ATL,2,1,3.0,2.0,-1.0,DET
2016-03-18,Win,Home,69,SAC,2,1,2.0,1.0,0.0,DET
2016-03-19,Win,Home,70,BRK,1,0,3.0,2.0,-2.0,DET
2016-03-21,Win,Home,71,MIL,2,1,1.0,0.0,1.0,DET
2016-03-23,Win,Home,72,ORL,2,1,2.0,1.0,0.0,DET
2016-03-25,Win,Home,73,CHO,2,1,1.0,0.0,1.0,DET
2016-03-26,Loss,Home,74,ATL,1,0,1.0,0.0,0.0,DET
2016-03-29,Win,Home,75,OKC,3,2,1.0,0.0,2.0,DET
2016-04-01,Loss,Home,76,DAL,3,2,2.0,1.0,1.0,DET
2016-04-02,Win,Away,77,CHI,1,0,1.0,0.0,0.0,DET
2016-04-05,Loss,Away,78,MIA,3,2,2.0,1.0,1.0,DET
2016-04-06,Win,Away,79,ORL,1,0,2.0,1.0,-1.0,DET
2016-04-08,Win,Home,80,WAS,2,1,2.0,1.0,0.0,DET
2016-04-12,Loss,Home,81,MIA,4,3,2.0,1.0,2.0,DET
2016-04-13,Win,Away,82,CLE,1,0,2.0,1.0,-1.0,DET
2015-10-28,Win,Home,1,CHO,10,9,10.0,9.0,0.0,MIA
2015-10-30,Loss,Away,2,CLE,2,1,1.0,0.0,1.0,MIA
2015-11-01,Win,Home,3,HOU,2,1,2.0,1.0,0.0,MIA
2015-11-03,Loss,Home,4,ATL,2,1,2.0,1.0,0.0,MIA
2015-11-05,Win,Away,5,MIN,2,1,2.0,1.0,0.0,MIA
2015-11-06,Loss,Away,6,IND,1,0,2.0,1.0,-1.0,MIA
2015-11-08,Win,Home,7,TOR,2,1,2.0,1.0,0.0,MIA
2015-11-10,Win,Home,8,LAL,2,1,1.0,0.0,1.0,MIA
2015-11-12,Win,Home,9,UTA,2,1,1.0,0.0,1.0,MIA
2015-11-17,Loss,Home,10,MIN,5,4,2.0,1.0,3.0,MIA
2015-11-19,Win,Home,11,SAC,2,1,2.0,1.0,0.0,MIA
2015-11-21,Win,Home,12,PHI,2,1,2.0,1.0,0.0,MIA
2015-11-23,Win,Home,13,NYK,2,1,3.0,2.0,-1.0,MIA
2015-11-25,Loss,Away,14,DET,2,1,2.0,1.0,0.0,MIA
2015-11-27,Win,Away,15,NYK,2,1,2.0,1.0,0.0,MIA
2015-11-30,Loss,Home,16,BOS,3,2,2.0,1.0,1.0,MIA
2015-12-03,Win,Home,17,OKC,3,2,2.0,1.0,1.0,MIA
2015-12-05,Win,Home,18,CLE,2,1,3.0,2.0,-1.0,MIA
2015-12-07,Loss,Home,19,WAS,2,1,1.0,0.0,1.0,MIA
2015-12-09,Loss,Away,20,CHO,2,1,2.0,1.0,0.0,MIA
2015-12-11,Loss,Away,21,IND,2,1,3.0,2.0,-1.0,MIA
2015-12-13,Win,Home,22,MEM,2,1,2.0,1.0,0.0,MIA
2015-12-14,Win,Away,23,ATL,1,0,5.0,4.0,-4.0,MIA
2015-12-16,Win,Away,24,BRK,2,1,2.0,1.0,0.0,MIA
2015-12-18,Loss,Home,25,TOR,2,1,2.0,1.0,0.0,MIA
2015-12-20,Win,Home,26,POR,2,1,2.0,1.0,0.0,MIA
2015-12-22,Loss,Home,27,DET,2,1,2.0,1.0,0.0,MIA
2015-12-25,Win,Home,28,NOP,3,2,3.0,2.0,0.0,MIA
2015-12-26,Win,Away,29,ORL,1,0,2.0,1.0,-1.0,MIA
2015-12-28,Loss,Home,30,BRK,2,1,3.0,2.0,-1.0,MIA
2015-12-29,Loss,Away,31,MEM,1,0,1.0,0.0,0.0,MIA
2016-01-01,Win,Home,32,DAL,3,2,2.0,1.0,1.0,MIA
2016-01-03,Win,Away,33,WAS,2,1,3.0,2.0,-1.0,MIA
2016-01-04,Win,Home,34,IND,1,0,2.0,1.0,-1.0,MIA
2016-01-06,Loss,Home,35,NYK,2,1,2.0,1.0,0.0,MIA
2016-01-08,Win,Away,36,PHO,2,1,2.0,1.0,0.0,MIA
2016-01-09,Loss,Away,37,UTA,1,0,1.0,0.0,0.0,MIA
2016-01-11,Loss,Away,38,GSW,2,1,2.0,1.0,0.0,MIA
2016-01-13,Loss,Away,39,LAC,2,1,3.0,2.0,-1.0,MIA
2016-01-15,Win,Away,40,DEN,2,1,2.0,1.0,0.0,MIA
2016-01-17,Loss,Away,41,OKC,2,1,2.0,1.0,0.0,MIA
2016-01-19,Loss,Home,42,MIL,2,1,2.0,1.0,0.0,MIA
2016-01-20,Loss,Away,43,WAS,1,0,1.0,0.0,0.0,MIA
2016-01-22,Loss,Away,44,TOR,2,1,2.0,1.0,0.0,MIA
2016-01-25,Win,Away,45,CHI,3,2,3.0,2.0,0.0,MIA
2016-01-26,Win,Away,46,BRK,1,0,2.0,1.0,-1.0,MIA
2016-01-29,Win,Away,47,MIL,3,2,3.0,2.0,0.0,MIA
2016-01-31,Win,Home,48,ATL,2,1,1.0,0.0,1.0,MIA
2016-02-02,Loss,Away,49,HOU,2,1,2.0,1.0,0.0,MIA
2016-02-03,Win,Away,50,DAL,1,0,2.0,1.0,-1.0,MIA
2016-02-05,Win,Away,51,CHO,2,1,1.0,0.0,1.0,MIA
2016-02-07,Loss,Home,52,LAC,2,1,1.0,0.0,1.0,MIA
2016-02-09,Loss,Home,53,SAS,2,1,1.0,0.0,1.0,MIA
2016-02-19,Win,Away,54,ATL,10,9,1.0,0.0,9.0,MIA
2016-02-20,Win,Home,55,WAS,1,0,3.0,2.0,-2.0,MIA
2016-02-22,Win,Home,56,IND,2,1,1.0,0.0,1.0,MIA
2016-02-24,Loss,Home,57,GSW,2,1,1.0,0.0,1.0,MIA
2016-02-27,Loss,Away,58,BOS,3,2,1.0,0.0,2.0,MIA
2016-02-28,Win,Away,59,NYK,1,0,2.0,1.0,-1.0,MIA
2016-03-01,Win,Home,60,CHI,2,1,1.0,0.0,1.0,MIA
2016-03-03,Win,Home,61,PHO,2,1,2.0,1.0,0.0,MIA
2016-03-04,Win,Away,62,PHI,1,0,2.0,1.0,-1.0,MIA
2016-03-06,Win,Home,63,PHI,2,1,2.0,1.0,0.0,MIA
2016-03-09,Loss,Away,64,MIL,3,2,1.0,0.0,2.0,MIA
2016-03-11,Win,Away,65,CHI,2,1,3.0,2.0,-1.0,MIA
2016-03-12,Loss,Away,66,TOR,1,0,1.0,0.0,0.0,MIA
2016-03-14,Win,Home,67,DEN,2,1,2.0,1.0,0.0,MIA
2016-03-17,Loss,Home,68,CHO,3,2,1.0,0.0,2.0,MIA
2016-03-19,Win,Home,69,CLE,2,1,1.0,0.0,1.0,MIA
2016-03-22,Win,Away,70,NOP,3,2,2.0,1.0,1.0,MIA
2016-03-23,Loss,Away,71,SAS,1,0,2.0,1.0,-1.0,MIA
2016-03-25,Win,Home,72,ORL,2,1,2.0,1.0,0.0,MIA
2016-03-28,Win,Home,73,BRK,3,2,2.0,1.0,1.0,MIA
2016-03-30,Loss,Away,74,LAL,2,1,1.0,0.0,1.0,MIA
2016-04-01,Win,Away,75,SAC,2,1,2.0,1.0,0.0,MIA
2016-04-02,Loss,Away,76,POR,1,0,3.0,2.0,-2.0,MIA
2016-04-05,Win,Home,77,DET,3,2,1.0,0.0,2.0,MIA
2016-04-07,Win,Home,78,CHI,2,1,2.0,1.0,0.0,MIA
2016-04-08,Loss,Away,79,ORL,1,0,2.0,1.0,-1.0,MIA
2016-04-10,Win,Home,80,ORL,2,1,2.0,1.0,0.0,MIA
2016-04-12,Win,Away,81,DET,2,1,4.0,3.0,-2.0,MIA
2016-04-13,Loss,Away,82,BOS,1,0,2.0,1.0,-1.0,MIA
2015-10-28,Win,Away,1,MIL,10,9,10.0,9.0,0.0,NYK
2015-10-29,Loss,Home,2,ATL,1,0,2.0,1.0,-1.0,NYK
2015-10-31,Win,Away,3,WAS,2,1,1.0,0.0,1.0,NYK
2015-11-02,Loss,Home,4,SAS,2,1,1.0,0.0,1.0,NYK
2015-11-04,Loss,Away,5,CLE,2,1,2.0,1.0,0.0,NYK
2015-11-06,Loss,Home,6,MIL,2,1,2.0,1.0,0.0,NYK
2015-11-08,Win,Home,7,LAL,2,1,2.0,1.0,0.0,NYK
2015-11-10,Win,Away,8,TOR,2,1,2.0,1.0,0.0,NYK
2015-11-11,Loss,Away,9,CHO,1,0,2.0,1.0,-1.0,NYK
2015-11-13,Loss,Home,10,CLE,2,1,1.0,0.0,1.0,NYK
2015-11-15,Win,Home,11,NOP,2,1,2.0,1.0,0.0,NYK
2015-11-17,Win,Home,12,CHO,2,1,1.0,0.0,1.0,NYK
2015-11-20,Win,Away,13,OKC,3,2,2.0,1.0,1.0,NYK
2015-11-21,Win,Away,14,HOU,1,0,1.0,0.0,0.0,NYK
2015-11-23,Loss,Away,15,MIA,2,1,2.0,1.0,0.0,NYK
2015-11-25,Loss,Away,16,ORL,2,1,2.0,1.0,0.0,NYK
2015-11-27,Loss,Home,17,MIA,2,1,3.0,2.0,-1.0,NYK
2015-11-29,Loss,Home,18,HOU,2,1,1.0,0.0,1.0,NYK
2015-12-02,Win,Home,19,PHI,3,2,2.0,1.0,1.0,NYK
2015-12-04,Win,Home,20,BRK,2,1,2.0,1.0,0.0,NYK
2015-12-05,Loss,Away,21,MIL,1,0,1.0,0.0,0.0,NYK
2015-12-07,Loss,Home,22,DAL,2,1,1.0,0.0,1.0,NYK
2015-12-09,Loss,Away,23,UTA,2,1,1.0,0.0,1.0,NYK
2015-12-10,Loss,Away,24,SAC,1,0,2.0,1.0,-1.0,NYK
2015-12-12,Win,Away,25,POR,2,1,1.0,0.0,1.0,NYK
2015-12-16,Win,Home,26,MIN,4,3,2.0,1.0,2.0,NYK
2015-12-18,Win,Away,27,PHI,2,1,2.0,1.0,0.0,NYK
2015-12-19,Win,Home,28,CHI,1,0,1.0,0.0,0.0,NYK
2015-12-21,Loss,Home,29,ORL,2,1,2.0,1.0,0.0,NYK
2015-12-23,Loss,Away,30,CLE,2,1,1.0,0.0,1.0,NYK
2015-12-26,Loss,Away,31,ATL,3,2,2.0,1.0,1.0,NYK
2015-12-27,Loss,Away,32,BOS,1,0,3.0,2.0,-2.0,NYK
2015-12-29,Win,Home,33,DET,2,1,2.0,1.0,0.0,NYK
2016-01-01,Loss,Away,34,CHI,3,2,2.0,1.0,1.0,NYK
2016-01-03,Win,Home,35,ATL,2,1,5.0,4.0,-3.0,NYK
2016-01-05,Win,Away,36,ATL,2,1,2.0,1.0,0.0,NYK
2016-01-06,Win,Away,37,MIA,1,0,1.0,0.0,0.0,NYK
2016-01-08,Loss,Away,38,SAS,2,1,2.0,1.0,0.0,NYK
2016-01-10,Win,Home,39,MIL,2,1,2.0,1.0,0.0,NYK
2016-01-12,Win,Home,40,BOS,2,1,2.0,1.0,0.0,NYK
2016-01-13,Loss,Away,41,BRK,1,0,1.0,0.0,0.0,NYK
2016-01-16,Loss,Away,42,MEM,3,2,2.0,1.0,1.0,NYK
2016-01-18,Win,Home,43,PHI,2,1,2.0,1.0,0.0,NYK
2016-01-20,Win,Home,44,UTA,2,1,3.0,2.0,-1.0,NYK
2016-01-22,Loss,Home,45,LAC,2,1,2.0,1.0,0.0,NYK
2016-01-23,Loss,Away,46,CHO,1,0,2.0,1.0,-1.0,NYK
2016-01-26,Loss,Home,47,OKC,3,2,2.0,1.0,1.0,NYK
2016-01-28,Loss,Away,48,TOR,2,1,2.0,1.0,0.0,NYK
2016-01-29,Win,Home,49,PHO,1,0,2.0,1.0,-1.0,NYK
2016-01-31,Loss,Home,50,GSW,2,1,3.0,2.0,-1.0,NYK
2016-02-02,Loss,Home,51,BOS,2,1,1.0,0.0,1.0,NYK
2016-02-04,Loss,Away,52,DET,2,1,2.0,1.0,0.0,NYK
2016-02-05,Loss,Home,53,MEM,1,0,2.0,1.0,-1.0,NYK
2016-02-07,Loss,Home,54,DEN,2,1,2.0,1.0,0.0,NYK
2016-02-09,Loss,Home,55,WAS,2,1,3.0,2.0,-1.0,NYK
2016-02-19,Loss,Away,56,BRK,10,9,2.0,1.0,8.0,NYK
2016-02-20,Win,Away,57,MIN,1,0,2.0,1.0,-1.0,NYK
2016-02-22,Loss,Home,58,TOR,2,1,2.0,1.0,0.0,NYK
2016-02-24,Loss,Away,59,IND,2,1,2.0,1.0,0.0,NYK
2016-02-26,Win,Home,60,ORL,2,1,1.0,0.0,1.0,NYK
2016-02-28,Loss,Home,61,MIA,2,1,2.0,1.0,0.0,NYK
2016-03-01,Loss,Home,62,POR,2,1,1.0,0.0,1.0,NYK
2016-03-04,Loss,Away,63,BOS,3,2,2.0,1.0,1.0,NYK
2016-03-05,Win,Home,64,DET,1,0,3.0,2.0,-2.0,NYK
2016-03-08,Loss,Away,65,DEN,3,2,2.0,1.0,1.0,NYK
2016-03-09,Win,Away,66,PHO,1,0,2.0,1.0,-1.0,NYK
2016-03-11,Loss,Away,67,LAC,2,1,1.0,0.0,1.0,NYK
2016-03-13,Win,Away,68,LAL,2,1,2.0,1.0,0.0,NYK
2016-03-16,Loss,Away,69,GSW,3,2,1.0,0.0,2.0,NYK
2016-03-19,Loss,Away,70,WAS,3,2,2.0,1.0,1.0,NYK
2016-03-20,Loss,Home,71,SAC,1,0,2.0,1.0,-1.0,NYK
2016-03-23,Win,Away,72,CHI,3,2,2.0,1.0,1.0,NYK
2016-03-24,Win,Home,73,CHI,1,0,2.0,1.0,-1.0,NYK
2016-03-26,Loss,Home,74,CLE,2,1,3.0,2.0,-1.0,NYK
2016-03-28,Loss,Away,75,NOP,2,1,1.0,0.0,1.0,NYK
2016-03-30,Loss,Away,76,DAL,2,1,2.0,1.0,0.0,NYK
2016-04-01,Win,Home,77,BRK,2,1,2.0,1.0,0.0,NYK
2016-04-03,Loss,Home,78,IND,2,1,3.0,2.0,-1.0,NYK
2016-04-06,Loss,Home,79,CHO,3,2,2.0,1.0,1.0,NYK
2016-04-08,Win,Away,80,PHI,2,1,2.0,1.0,0.0,NYK
2016-04-10,Loss,Home,81,TOR,2,1,2.0,1.0,0.0,NYK
2016-04-12,Loss,Away,82,IND,2,1,1.0,0.0,1.0,NYK
2015-10-28,Win,Home,1,SAS,10,9,10.0,9.0,0.0,OKC
2015-10-30,Win,Away,2,ORL,2,1,2.0,1.0,0.0,OKC
2015-11-01,Win,Home,3,DEN,2,1,2.0,1.0,0.0,OKC
2015-11-02,Loss,Away,4,HOU,1,0,1.0,0.0,0.0,OKC
2015-11-04,Loss,Home,5,TOR,2,1,1.0,0.0,1.0,OKC
2015-11-05,Loss,Away,6,CHI,1,0,2.0,1.0,-1.0,OKC
2015-11-08,Win,Home,7,PHO,3,2,2.0,1.0,1.0,OKC
2015-11-10,Win,Away,8,WAS,2,1,4.0,3.0,-2.0,OKC
2015-11-13,Win,Home,9,PHI,3,2,2.0,1.0,1.0,OKC
2015-11-15,Loss,Home,10,BOS,2,1,1.0,0.0,1.0,OKC
2015-11-16,Loss,Away,11,MEM,1,0,2.0,1.0,-1.0,OKC
2015-11-18,Win,Home,12,NOP,2,1,1.0,0.0,1.0,OKC
2015-11-20,Loss,Home,13,NYK,2,1,3.0,2.0,-1.0,OKC
2015-11-22,Win,Home,14,DAL,2,1,2.0,1.0,0.0,OKC
2015-11-23,Win,Away,15,UTA,1,0,3.0,2.0,-2.0,OKC
2015-11-25,Win,Home,16,BRK,2,1,3.0,2.0,-1.0,OKC
2015-11-27,Win,Home,17,DET,2,1,2.0,1.0,0.0,OKC
2015-11-30,Loss,Away,18,ATL,3,2,2.0,1.0,1.0,OKC
2015-12-03,Loss,Away,19,MIA,3,2,2.0,1.0,1.0,OKC
2015-12-06,Win,Home,20,SAC,3,2,3.0,2.0,0.0,OKC
2015-12-08,Win,Away,21,MEM,2,1,3.0,2.0,-1.0,OKC
2015-12-10,Win,Home,22,ATL,2,1,2.0,1.0,0.0,OKC
2015-12-11,Win,Away,23,UTA,1,0,1.0,0.0,0.0,OKC
2015-12-13,Win,Home,24,UTA,2,1,2.0,1.0,0.0,OKC
2015-12-16,Win,Home,25,POR,3,2,1.0,0.0,2.0,OKC
2015-12-17,Loss,Away,26,CLE,1,0,3.0,2.0,-2.0,OKC
2015-12-19,Win,Home,27,LAL,2,1,2.0,1.0,0.0,OKC
2015-12-21,Win,Away,28,LAC,2,1,1.0,0.0,1.0,OKC
2015-12-23,Win,Away,29,LAL,2,1,1.0,0.0,1.0,OKC
2015-12-25,Loss,Home,30,CHI,2,1,2.0,1.0,0.0,OKC
2015-12-27,Win,Home,31,DEN,2,1,1.0,0.0,1.0,OKC
2015-12-29,Win,Home,32,MIL,2,1,2.0,1.0,0.0,OKC
2015-12-31,Win,Home,33,PHO,2,1,2.0,1.0,0.0,OKC
2016-01-02,Win,Away,34,CHO,2,1,2.0,1.0,0.0,OKC
2016-01-04,Loss,Home,35,SAC,2,1,1.0,0.0,1.0,OKC
2016-01-06,Win,Home,36,MEM,2,1,2.0,1.0,0.0,OKC
2016-01-08,Win,Away,37,LAL,2,1,2.0,1.0,0.0,OKC
2016-01-10,Loss,Away,38,POR,2,1,2.0,1.0,0.0,OKC
2016-01-12,Win,Away,39,MIN,2,1,2.0,1.0,0.0,OKC
2016-01-13,Win,Home,40,DAL,1,0,1.0,0.0,0.0,OKC
2016-01-15,Win,Home,41,MIN,2,1,2.0,1.0,0.0,OKC
2016-01-17,Win,Home,42,MIA,2,1,2.0,1.0,0.0,OKC
2016-01-19,Win,Away,43,DEN,2,1,2.0,1.0,0.0,OKC
2016-01-20,Win,Home,44,CHO,1,0,1.0,0.0,0.0,OKC
2016-01-22,Win,Away,45,DAL,2,1,2.0,1.0,0.0,OKC
2016-01-24,Loss,Away,46,BRK,2,1,2.0,1.0,0.0,OKC
2016-01-26,Win,Away,47,NYK,2,1,3.0,2.0,-1.0,OKC
2016-01-27,Win,Away,48,MIN,1,0,2.0,1.0,-1.0,OKC
2016-01-29,Win,Home,49,HOU,2,1,2.0,1.0,0.0,OKC
2016-02-01,Win,Home,50,WAS,3,2,3.0,2.0,0.0,OKC
2016-02-03,Win,Home,51,ORL,2,1,1.0,0.0,1.0,OKC
2016-02-06,Loss,Away,52,GSW,3,2,1.0,0.0,2.0,OKC
2016-02-08,Win,Away,53,PHO,2,1,2.0,1.0,0.0,OKC
2016-02-11,Win,Home,54,NOP,3,2,8.0,7.0,-5.0,OKC
2016-02-19,Loss,Home,55,IND,8,7,2.0,1.0,6.0,OKC
2016-02-21,Loss,Home,56,CLE,2,1,2.0,1.0,0.0,OKC
2016-02-24,Win,Away,57,DAL,3,2,2.0,1.0,1.0,OKC
2016-02-25,Loss,Away,58,NOP,1,0,2.0,1.0,-1.0,OKC
2016-02-27,Loss,Home,59,GSW,2,1,3.0,2.0,-1.0,OKC
2016-02-29,Win,Away,60,SAC,2,1,1.0,0.0,1.0,OKC
2016-03-02,Loss,Away,61,LAC,2,1,3.0,2.0,-1.0,OKC
2016-03-03,Loss,Away,62,GSW,1,0,1.0,0.0,0.0,OKC
2016-03-06,Win,Away,63,MIL,3,2,2.0,1.0,1.0,OKC
